gvkey,datadate,conm,rdq,atq,cshoq,cik,ticker
133366,20200331,EDWARDS LIFESCIENCES CORP,20200423,6076.1000,206.5000,0001099800,EW
133768,20200331,METLIFE INC,20200506,737741.0000,907.5690,0001099219,METL
135990,20200331,NRG ENERGY INC,20200507,12822.0000,245.6240,0001013871,NRGE
136725,20200331,INTUITIVE SURGICAL INC,20200416,9891.1000,116.6000,0001035267,ISRG
138205,20200331,ILLUMINA INC,20200430,7261.0000,147.0000,0001110803,ILMN
138743,20200331,EQUINIX INC,20200506,23590.6980,85.9270,0001101239,EQIX
139665,20200331,MOODY'S CORP,20200430,11306.0000,187.5160,0001059556,DNB
141384,20200331,ALIGN TECHNOLOGY INC,20200429,3964.8400,78.7590,0001097149,ALGN
141459,20200331,GARMIN LTD,20200429,6053.9930,191.0170,0001121788,GRMN
141913,20200331,GLOBAL PAYMENTS INC,20200506,43849.5980,299.0100,0001123360,GPN
142953,20200331,MONDELEZ INTERNATIONAL INC,20200428,63598.0000,1427.3530,0001103982,KFT
143356,20200331,PRUDENTIAL FINANCIAL INC,20200505,873712.0000,393.8490,0001137774,PRU
143974,20200331,ALLIANCE DATA SYSTEMS CORP,20200423,24234.9000,47.6000,0001101215,ASD1
144009,20200331,WILLIS TOWERS WATSON PLC,20200430,37727.0000,128.7260,0001140536,WSH
144559,20200331,ZIMMER BIOMET HOLDINGS INC,20200511,25512.9000,206.8000,0001136869,ZMH
145046,20200331,ANTHEM INC,20200429,82399.0000,252.0200,0001156039,ATHI
145552,20200331,CENTENE CORP,20200428,66431.0000,579.1220,0001071739,CNTE
145701,20200331,PRINCIPAL FINANCIAL GRP INC,20200427,246903.9000,273.4000,0001126328,PFGA
145977,20200331,ADVANCE AUTO PARTS INC,20200519,12072.5720,69.1010,0001158449,AAPS
147579,20200331,NETFLIX INC,20200421,35059.9100,439.7810,0001065280,NFLX
149070,20200331,CME GROUP INC,20200429,137932.3000,357.6800,0001156375,CME
149318,20200331,WYNN RESORTS LTD,20200506,14273.3470,107.8840,0001174922,WYNN
149337,20200331,NASDAQ INC,20200422,14798.0000,164.3380,0001120193,NDAQ
155394,20200331,LKQ CORP,20200430,12354.0700,303.9430,0001065696,LKQX
157057,20200331,ASSURANT INC,20200505,43423.3000,59.7080,0001267238,AIZI
158742,20200331,MARKETAXESS HOLDINGS INC,20200429,975.6030,37.9150,0001278021,MKTX
160225,20200331,MASTERCARD INC,20200429,30648.0000,1004.0000,0001141391,MAAA
160329,20200331,ALPHABET INC,20200428,273403.0000,683.9720,0001652044,GOOG
160479,20200331,EXTRA SPACE STORAGE INC,20200506,8549.4860,129.0390,0001289490,EXRN
160991,20200331,DIGITAL REALTY TRUST INC,20200507,33113.3000,263.5960,0001297996,DLRN
161844,20200331,LAS VEGAS SANDS CORP,20200422,21167.0000,764.0000,0001300514,LVSN
162129,20200331,MOSAIC CO,20200504,18975.5000,379.0200,0001285785,MOSC
162254,20200331,CELANESE CORP,20200427,9545.0000,118.2290,0001306830,CEPU
163610,20200331,INTERCONTINENTAL EXCHANGE,20200430,138901.0000,548.0000,0001571949,ICEI
163946,20200331,CF INDUSTRIES HOLDINGS INC,20200506,12441.0000,213.7970,0001324404,CFF
164296,20200331,DISCOVERY INC,20200506,33390.0000,512.0000,0001437107,DCHA
164708,20200331,AMERIPRISE FINANCIAL INC,20200506,145682.0000,122.3350,0000820027,AMPW
165052,20200331,UNDER ARMOUR INC,20200511,4837.5750,454.0510,0001336917,UARM
165123,20200331,LEIDOS HOLDINGS INC,20200505,10988.0000,142.0000,0001336920,SAIC
165746,20200331,LIVE NATION ENTERTAINMENT,20200507,11861.4440,215.2600,0001335258,LYV
165914,20200331,CHIPOTLE MEXICAN GRILL INC,20200421,5206.4880,27.8150,0001058090,CMG
165993,20200331,FIDELITY NATIONAL INFO SVCS,20200507,82474.0000,616.0000,0001136893,CEY
170617,20200331,META PLATFORMS INC,20200429,138371.0000,2851.0000,0001326801,FBK
170750,20200331,DIAMONDBACK ENERGY INC,20200504,23386.0000,157.8160,0001539838,FANG
170841,20200331,PHILLIPS 66,20200501,53460.0000,436.6750,0001534701,PSXX
171007,20200331,SERVICENOW INC,20200429,6197.4160,190.7000,0001373715,NOWZ
175263,20200331,WESTERN UNION CO,20200505,8365.4000,410.9000,0001365135,WUN
175319,20200331,HANESBRANDS INC,20200430,7943.2590,348.0350,0001359841,HBI
175955,20200331,IPG PHOTONICS CORP,20200505,2680.1340,53.1270,0001111928,IPGP
177376,20200331,DISCOVER FINANCIAL SVCS,20200422,112657.0000,306.3020,0001393612,DFSV
177884,20200331,CONCHO RESOURCES INC,20200430,13614.0000,196.7050,0001358071,CXO
178507,20200331,MSCI INC,20200428,3911.7990,83.7090,0001408198,MXB
179437,20200331,AMERICAN WATER WORKS CO INC,20200506,22184.0000,181.0210,0001410636,AWKC
179621,20200331,PHILIP MORRIS INTERNATIONAL,20200421,37494.0000,1557.1060,0001413329,PMW
180405,20200331,ACTIVISION BLIZZARD INC,20200505,19604.0000,770.3450,0000718877,AVSN
180652,20200331,VERISK ANALYTICS INC,20200505,6928.1000,162.4980,0001442145,VRSK
183377,20200331,FORTINET INC,20200506,3206.2000,162.6000,0001262039,FTNT
184500,20200331,CBOE GLOBAL MARKETS INC,20200501,5237.5000,109.7200,0001374310,CBOH
184700,20200331,FLEETCOR TECHNOLOGIES INC,20200507,11310.1500,83.7710,0001175454,FLTT
186310,20200331,HUNTINGTON INGALLS IND INC,20200507,7615.0000,40.5000,0001501585,HIIW
186989,20200331,MARATHON PETROLEUM CORP,20200505,86317.0000,650.0000,0001510295,MPCW
188255,20200331,FORTUNE BRANDS HOME & SECUR,20200430,6300.1000,137.9470,0001519751,FBHS
189491,20200331,XYLEM INC,20200505,7591.0000,179.9000,0001524472,XYL
260774,20200331,CBRE GROUP INC,20200507,15680.2640,335.1450,0001138118,CBCG
294524,20200331,LYONDELLBASELL INDUSTRIES NV,20200501,31100.0000,333.7030,0001489393,LALL
316056,20200331,ALLEGION PLC,20200423,2757.7000,92.2180,0001579241,ALEE
